,local_efficiency_1,local_efficiency_2,local_efficiency_3,local_efficiency_4,local_efficiency_5,local_efficiency_6,local_efficiency_7,local_efficiency_8,local_efficiency_9,local_efficiency_10,local_efficiency_11,local_efficiency_12,local_efficiency_13,local_efficiency_14,local_efficiency_15,local_efficiency_16,local_efficiency_17,local_efficiency_18,local_efficiency_19,local_efficiency_20,local_efficiency_21,local_efficiency_22,local_efficiency_23,local_efficiency_24,local_efficiency_25,local_efficiency_26,local_efficiency_27,local_efficiency_28,local_efficiency_29,local_efficiency_30,local_efficiency_31,local_efficiency_32,local_efficiency_33,local_efficiency_34,local_efficiency_35,local_efficiency_36,local_efficiency_37,local_efficiency_38,local_efficiency_39,local_efficiency_40,local_efficiency_41,local_efficiency_42,local_efficiency_43,local_efficiency_44,local_efficiency_45,local_efficiency_46,local_efficiency_47,local_efficiency_48,local_efficiency_49,local_efficiency_50,local_efficiency_51,local_efficiency_52,local_efficiency_53,local_efficiency_54,local_efficiency_55,local_efficiency_56,local_efficiency_57,local_efficiency_58,local_efficiency_59,local_efficiency_60,local_efficiency_61,local_efficiency_62,local_efficiency_63,local_efficiency_64,local_efficiency_65,local_efficiency_66,local_efficiency_67,local_efficiency_68,local_efficiency_69,local_efficiency_70,local_efficiency_71,local_efficiency_72,local_efficiency_73,local_efficiency_74,local_efficiency_75,local_efficiency_76,local_efficiency_77,local_efficiency_78,local_efficiency_79,local_efficiency_80,local_efficiency_81,local_efficiency_82,local_efficiency_83,local_efficiency_84,local_efficiency_85,local_efficiency_86,local_efficiency_87,local_efficiency_88,local_efficiency_89,local_efficiency_90,local_efficiency_91,local_efficiency_92,local_efficiency_93,local_efficiency_94,local_efficiency_95,local_efficiency_96,local_efficiency_97,local_efficiency_98,local_efficiency_99,local_efficiency_100
216,0.7318582345932817,0.6082020812123243,0.6931237301337808,0.5743946706143916,0.5654820394941907,0.7280351837180551,0.7147766732366874,0.6772712445899264,0.6678624360657164,0.6582932489107691,0.6748679858598171,0.6489717072464593,0.6648580309957958,0.6304723455657284,0.6433623838340602,0.6828932621781982,0.6724936899157472,0.6801050765762189,0.6509977888516534,0.7247283571418505,0.6582429688264864,0.6821702765165278,0.6813239310194141,0.6868391861346156,0.7012186106132903,0.6790169121917757,0.7220533722618483,0.7134658032244084,0.6774116342688907,0.6653124087131822,0.7052776507832138,0.7073445838214041,0.5824993980245035,0.6842277200419492,0.6801818395843323,0.694122051833522,0.5836106111644913,0.7022386303921098,0.6148167193901757,0.6565489452651357,0.579738383442012,0.7159733931410219,0.6392307806377606,0.6581765116522065,0.6675155644971891,0.6039587400478099,0.6344703064463776,0.6293238128874542,0.7219606513319105,0.6270882317023655,0.7122065797514247,0.6823808329501528,0.6825423518913927,0.6261279863695782,0.6917321494656732,0.6553187100686574,0.683697495527284,0.6554983057255752,0.6562461167887368,0.6550185823100698,0.6497538371275838,0.6668222340313102,0.650066539642029,0.6424048416955016,0.6439527319870458,0.644666702690175,0.6942280410547184,0.6750137286085647,0.6960886836898533,0.679338030650359,0.6462833395310557,0.7079723956743882,0.6769460745450234,0.6189064914193249,0.6931788173732166,0.6878959085277458,0.6591724838008733,0.6625878023626897,0.7128933768757723,0.7313990814868013,0.7072637909014814,0.6500525609915198,0.6678283986578502,0.6144482258405373,0.7302181355488808,0.6347393416698072,0.668964410978051,0.719660759032485,0.70959544560301,0.5834248111146004,0.5898315484856504,0.7344121537349177,0.7100716389402272,0.7190927477837245,0.6607996133566783,0.6957756755915672,0.6145195047110532,0.6715913430912961,0.7075829882585819,0.6934235581583452
217,0.6926521281928285,0.6134625575800304,0.6833303674086698,0.6873395136269115,0.6837319322829696,0.6795453901748165,0.708791634815826,0.6663411698224818,0.6504365120572592,0.6990524620988148,0.6455163504359559,0.6144119423349279,0.6904359556592219,0.6301311092524693,0.6152291506296613,0.7042007248660135,0.6881865810296801,0.6452053268741726,0.6579385441610982,0.7077074999512984,0.6509915671597322,0.6859111832100516,0.6850968785465498,0.6445450364252799,0.6976027628967192,0.6492922025900718,0.6771716797921306,0.6896326140594454,0.6627874679299421,0.6408273907966134,0.616749557873893,0.6270352702679951,0.6065730677426892,0.6256392143689999,0.6531059093397803,0.6962898099683534,0.6752684089449078,0.6233274495696184,0.684538573639062,0.6596496145257996,0.6121402988302633,0.6484362129520101,0.6650293940791812,0.6418677408682151,0.6173804640942062,0.6689184063367195,0.6951364508212802,0.6273089229301562,0.6549845433871818,0.6573157574423268,0.7022846482905233,0.7058165578817529,0.7111960793170508,0.6494682093596564,0.6796086013594824,0.6884640606527969,0.6590225451716674,0.603552641514081,0.6519384589479186,0.6441678600689519,0.6462860473492567,0.6890496250204876,0.661965999814895,0.6511953817021957,0.6339053349438173,0.605450936245331,0.6783878176831138,0.6326447296409218,0.6878251229535268,0.6650036352249064,0.670041019682759,0.6866805294143278,0.6932252839181487,0.6707438614903884,0.5985078832065258,0.6729255273490236,0.6766939684790991,0.618342141987941,0.6022552387766955,0.6683367400066489,0.6399099346661357,0.5864059394520739,0.5572068300900348,0.5825968441275364,0.7013060005877526,0.6301077963528294,0.6941004284045246,0.7039570822140193,0.6816001839715444,0.654274629464092,0.5678522833716066,0.6678427610088323,0.7117377807614993,0.676648425276293,0.672307820720118,0.6622386695730506,0.6273693833767024,0.6153048279966983,0.654882635350431,0.660790532456419
218,0.6689366785860917,0.5997142200147968,0.6153938032907833,0.6810596630060292,0.6584333466528819,0.6336370839180462,0.5830413022925239,0.5681532372989397,0.585216353877723,0.6490795284775891,0.65444474120686,0.6355863805061438,0.6630225723743142,0.65976678555007,0.660216276805785,0.6522298880313957,0.6179624890369676,0.6192835333254961,0.6106328148405222,0.6289408051665327,0.6557657128338663,0.5931141261202914,0.6078781444791667,0.6295951113880293,0.6720339477935233,0.6483029353345979,0.6307278232730815,0.5712827949903584,0.6287258550455617,0.6012725636307016,0.624323588418036,0.6683841216081455,0.6481941728469487,0.5872496549982742,0.6210631549245952,0.6878564437135892,0.6648855838881705,0.6311719724674167,0.5982736514361312,0.6306095600700812,0.6036402974946131,0.6805784037531808,0.6395518866465788,0.6510159455799236,0.6660089359327164,0.6167736043328942,0.5509217749037845,0.6178555071696196,0.6452820071776081,0.6089208583738187,0.6671177846841706,0.5918774804995439,0.5978438457111264,0.63905143404088,0.6050507287490168,0.6076077647090172,0.5834773394552643,0.570840108638035,0.6653597393122356,0.6415363998119216,0.6341608350796663,0.6545082954625334,0.6386828723571586,0.6494793107097726,0.6547328544401473,0.6598878076877686,0.6439189397835224,0.6537026286893091,0.598959318354355,0.6180872613932079,0.665550210967908,0.6033845023594274,0.5908757176422271,0.6380804833521959,0.5973020223598645,0.6448333756855655,0.647861724995404,0.6239163222054774,0.6603253180840738,0.6840845645676462,0.5962929003496663,0.5768232098762476,0.5764650128199977,0.6460061947060339,0.634827206268848,0.5527291453361783,0.6260941402191392,0.5651028286213138,0.6551120157193083,0.6019711423057839,0.6167311388459071,0.6783032680653878,0.646677544929735,0.6614061257756404,0.6609536218406126,0.6339340478368279,0.622892307217632,0.621802726383488,0.635406276701058,0.6126264885430056
219,0.6640863679373973,0.6627659721479318,0.622081829236789,0.6613139451346892,0.6413036833681863,0.631031118046064,0.6781626692608708,0.6199817543348954,0.6184622278838959,0.6346307956123078,0.6524932159346544,0.5902909772333338,0.6594915013915057,0.6406239287516882,0.675728690735901,0.6734729676418525,0.637714759506637,0.6751897327349353,0.6509719699600938,0.6799822539418583,0.6552257067825189,0.7044116966091,0.6622554309825956,0.5985687642585739,0.6582763904507136,0.5995156895055817,0.5976008938959775,0.6247604039383315,0.6305573383293932,0.6316393872326637,0.6658962381214287,0.6720638453526219,0.6412889874331419,0.6208123220526718,0.6888898952597005,0.6011250106230583,0.6334605616135272,0.6342099655323549,0.6203249408814808,0.5925454491704838,0.5917421859508113,0.6845320709119146,0.6352087196938113,0.676425347004553,0.6916624033651456,0.64627127196629,0.5952552120226545,0.6585425083371361,0.6689866601858415,0.5720270058242256,0.6865364181037138,0.6602164021698158,0.6428190447871133,0.6423519705653924,0.6382668471080333,0.611032787928361,0.6594706508351534,0.6380895771126406,0.6413731724890984,0.6577969546932834,0.602334012364416,0.6564220628087754,0.6385471837413491,0.6326487250123375,0.6414660473210878,0.6460079914061135,0.6552778534426855,0.6538501902191816,0.6742923556583538,0.6488430037713022,0.6597758138540104,0.615392227864228,0.6354996915927351,0.6079932762373657,0.6111524261050414,0.626135366590793,0.6235937242736372,0.5919284246369269,0.6839553333039071,0.6952980739477085,0.6402903015892535,0.5941710000848769,0.6359595857372096,0.6819919828109289,0.6089948194532773,0.6265217036758965,0.6530666187347832,0.6729367456680727,0.6021734719922693,0.7002046055189685,0.6041378346402856,0.6665996714364928,0.6306190525889115,0.6987039988926455,0.6620576573440538,0.659072628690632,0.6676039405895109,0.6593655754637542,0.6881148912448445,0.570458538940921
220,0.6899013677895306,0.6183074205797285,0.6549950093651592,0.6554270792155389,0.6593549596612852,0.6769280067484226,0.663778500017315,0.6580883694168853,0.6626643235528231,0.6738786399214381,0.6758601903925767,0.6054637718553825,0.6635410019840141,0.711506838604517,0.6976980670385716,0.667409651286791,0.590606025720414,0.6479585127849324,0.6542424334764101,0.6702730820342534,0.6897605319567062,0.6074821187371708,0.6622754295238626,0.5928478154288717,0.6493353169809409,0.6011688938455428,0.6711502560671726,0.6743560914831515,0.6916644597685206,0.6907021366692027,0.6739358647328231,0.6952660368219066,0.6949605254771395,0.6528277482816216,0.6507154110198755,0.6739589213443106,0.6877139102706357,0.6120217519838643,0.6288360875860367,0.6717115766444858,0.6060940116053493,0.670134643432541,0.6500832334186798,0.5888648216170872,0.6869496255070178,0.644410326812227,0.6640867401973127,0.6791274196367089,0.5993160297049376,0.5651304448669396,0.6865858355252961,0.62535046881835,0.6441858163136631,0.6532804006299155,0.6638487412988017,0.6183337947940956,0.6631921689125071,0.6393914272982554,0.6328825035593693,0.6702698826279891,0.6198704513512817,0.6616650763117335,0.6422738075094108,0.7106467586815108,0.6723081151245903,0.7068801043072381,0.5975636726054158,0.6960557167733529,0.658837981473952,0.6968594338349017,0.6876065942659884,0.6399441585951499,0.6789093693512829,0.6995503739974779,0.6027394731131246,0.6205067593257714,0.6794036784965848,0.6268839603845299,0.6878000316650311,0.6863822860588815,0.6106482985020695,0.6063867643241517,0.6832065057100842,0.6500407363976248,0.6656320414658298,0.6663966377822262,0.6711702720541735,0.6918533012709646,0.6565913129377282,0.6726469214542297,0.6246001648096462,0.6677339506124678,0.6535137199332073,0.6588905375386285,0.6728348180790186,0.5824716812113254,0.6379301442678468,0.666514298144282,0.5798857869573444,0.5502275990958123
221,0.683978003621611,0.6493242448544428,0.6502668955135877,0.6496769470538908,0.588517509614854,0.6241674500713144,0.6777561792094425,0.5965913836039642,0.6163314722239637,0.6542325851450702,0.6448792074781878,0.6165796131772814,0.6350841728143318,0.6165822178635845,0.6340772923453702,0.6163093082081144,0.6406425797395919,0.5909579488354949,0.5952355722744316,0.6389476834435497,0.6203219112137637,0.6594165753277416,0.6406547774198105,0.6381923404402619,0.6571659389468758,0.6276301613149061,0.6692604367780349,0.6765208851159529,0.669847793174408,0.6599914672387382,0.6657972648691791,0.6912280297370577,0.6433750834490701,0.6653945911219908,0.6514020087014598,0.6644267083520088,0.6261050186339521,0.6417668998043828,0.5882948559565738,0.6154352353957178,0.5518416434401202,0.6713736724870831,0.6574902937238483,0.6147226423570901,0.6366119098802943,0.5805108890085153,0.561721484011585,0.619114353374189,0.6400011152892905,0.5806636161326556,0.6663723091929175,0.5995790897201579,0.60378459792568,0.6339260874400282,0.6268035337098553,0.6170584944745214,0.591559773041177,0.6182132640073281,0.6493207285824355,0.6263020796543451,0.6337114626197164,0.6437823438313799,0.6363595577457561,0.6265128172846758,0.629435215235456,0.639238395584766,0.6210869093734694,0.6209300315929143,0.5914018821847004,0.5906936347808042,0.6244037653692209,0.6195211610780614,0.6249623371785391,0.66974525506228,0.6218211212392193,0.6355999807348072,0.6369777230984399,0.6327514611602365,0.6557839703719253,0.6786783750594938,0.6345253101652316,0.5885126579473976,0.5992979094937873,0.646769153843224,0.6417191984238109,0.5925744805064675,0.6484124205938954,0.6828268299742036,0.6465634542939767,0.6008457191540718,0.5706816896965995,0.6603339158897749,0.6184409488453761,0.6401455330263384,0.6655217837288132,0.5985553363260329,0.5835151182091152,0.66574892394914,0.6504961917380592,0.5851283735227198
222,0.6789207950377555,0.6424807922008129,0.6339162291382392,0.6411920788494718,0.687182383591659,0.6708217435649709,0.6260611556065362,0.6366028247878374,0.6509090679406557,0.6893071179825295,0.6900185774399046,0.6754803000578621,0.6868959481650028,0.6686619937111662,0.6584575563690279,0.7031425200065593,0.6917240679446032,0.7096270886626751,0.6658223948762422,0.6119850756223773,0.7212082685329766,0.6675287238430828,0.6828430249259865,0.705286628664766,0.7064936663413953,0.6867043068207107,0.7041626426314049,0.7182113272727467,0.7113098746023805,0.6570701916984505,0.6746346438886531,0.678179670444388,0.6572706214898506,0.6929648840752843,0.7205821382129628,0.7145834003830743,0.6888924355735313,0.6814155144279862,0.6696730406331015,0.720043361241812,0.6038178119412686,0.6773647668352191,0.6745265535322086,0.5784565846984178,0.6441340844065462,0.6311350350566864,0.6651027676026928,0.6858272203631461,0.7186164165641156,0.5906260042930122,0.7359896135059715,0.6455370312096328,0.6506496188508603,0.6652002792649244,0.6384852620605619,0.6502992583939485,0.6624940230720875,0.6359148066394053,0.6863385494764949,0.6889996357052337,0.6586198534561477,0.6785617026022643,0.7078619221808968,0.6741009054591024,0.6644153044097152,0.6521816407647927,0.7009467295180499,0.6865576686417382,0.6784144891381184,0.7073949382891892,0.7252491329829674,0.6591889015598142,0.6937099891810635,0.7071519327845078,0.6730369354638347,0.6834273709445198,0.7252628340528028,0.6765067537986035,0.6124594257093121,0.711574115233893,0.663293273344627,0.5816356718431945,0.6058179138711869,0.711585542990372,0.7286848754811324,0.7039474597911606,0.6772948863822426,0.6340760281370809,0.6756384544957786,0.6202871243217791,0.5971157544366199,0.6985536368549703,0.7170515106533321,0.6064836502376839,0.6638792830855322,0.5892019041555755,0.602927871275445,0.6084405319821059,0.7297796928150748,0.6106430202331906
223,0.619488591908325,0.6693966281300405,0.6651169677568534,0.6710704412734851,0.6504501521458369,0.6567631265371374,0.6486232059661983,0.6452745487358641,0.641010493841114,0.603536431673897,0.6184520438116935,0.6132149183074237,0.6566970286301809,0.6058321619570513,0.6136627727915895,0.6151089311144855,0.6037104404146214,0.5632434315705178,0.6613251857983421,0.6519225436873608,0.6147415781755015,0.6391282688859132,0.6267809310238474,0.6427499010046587,0.6211566148913313,0.6004217072049131,0.6192996942899008,0.620292080514306,0.6583838187268977,0.6544072305257752,0.6171300825420205,0.6473832442427611,0.6822774221543977,0.6063677155478905,0.6001532555283421,0.6006234375746645,0.6243856874171533,0.5716962926183045,0.5650647935807196,0.6794513034851571,0.5772323051940629,0.6518044630135449,0.6378596010495744,0.6319584532916028,0.584192620979446,0.5784079763566597,0.5989646287425671,0.5704980330718951,0.6177096829373351,0.6168549591486504,0.6412786700067376,0.6332534785646808,0.65217298948627,0.6964460828198518,0.6602315415024003,0.6538182098376534,0.6411539161191,0.6495849133306867,0.6080822485585877,0.6203528105679976,0.6284891933294623,0.6551224051521812,0.6523178819486705,0.6126776393806919,0.6223504797439777,0.6123456833229352,0.6235407812171287,0.6381325088007433,0.569812685245649,0.5567870834398335,0.6075872781894036,0.6049728958627418,0.6453020612367983,0.6481592487557151,0.6141799054563172,0.609002125085665,0.6247301982264561,0.6122880059661636,0.603723348371293,0.6336015150090298,0.5954474862454523,0.5638534083657238,0.5769947942388679,0.6044695659792279,0.6179757981508545,0.5930540298015455,0.656264580183987,0.6453254790647249,0.5792944909615892,0.5588620503234177,0.5897717604540234,0.6414569025374794,0.6394926387628472,0.6815352304576789,0.6286907078521796,0.6187566706740925,0.5869843029761761,0.6376605383029489,0.6431833948195947,0.6341578169157579
224,0.671130577463565,0.6847646450045284,0.7073238471384252,0.6526498370307017,0.6445421000469479,0.6567596730883928,0.6464706024948401,0.7320861180942334,0.6604076360600124,0.6938153085673224,0.7551507093154224,0.7119538515657492,0.658451654278561,0.7000098597489237,0.6835939420927492,0.6337397999621107,0.7449321610734095,0.7464179698358864,0.7196273217027109,0.7411307268997066,0.7072287719927443,0.652580842138286,0.6948025764708621,0.6648183932267517,0.693508195409191,0.6496152073909178,0.6433187939009851,0.6385255292512223,0.7077396661543645,0.7613028312764215,0.6400819469032382,0.755792004840853,0.7601242261797836,0.7286190223863275,0.6374536779831854,0.7441750472818587,0.7438088324635252,0.6457164269457368,0.7509435859132899,0.6424939335122134,0.7333770295672821,0.6583782938822019,0.6422189709731234,0.6363285785598345,0.7560975550593598,0.6459532057255772,0.6714624879146706,0.6528614033002892,0.7047685432738119,0.7006211402716735,0.6697410263406915,0.6475382255028992,0.6313141603115426,0.641976894084728,0.6595577823002109,0.7539077830911934,0.683413484988776,0.7341143748700888,0.6237274905305447,0.6394679594970758,0.6278269805748671,0.6365041773112126,0.6280215559628891,0.6944806116452736,0.7191673745383756,0.752525987828447,0.6641917023521656,0.7171164598824372,0.6941009262731155,0.7136166696337549,0.6974675124410977,0.6326537920078128,0.6405656672079323,0.6200148864933707,0.6329145410369467,0.6756870925637058,0.7383546529203014,0.7443201083129185,0.6902985242276714,0.7315149140417965,0.6534428405461907,0.7368437331202312,0.6512826572375958,0.6859554823967146,0.6273973162592591,0.6302443676603842,0.7565397940987473,0.6764671569119569,0.7388266998618656,0.6578091474258267,0.6278951181813859,0.7308193680388221,0.6252314061436564,0.7191066333799067,0.6264592247986961,0.658947813546156,0.709126334461703,0.6766851407678944,0.7551643807526205,0.7320668009515678
225,0.736574204021559,0.7110082392234947,0.7013540548087401,0.685780722768607,0.6561565931768021,0.6639493254048692,0.7344638948795577,0.6733579564181119,0.6658856207644901,0.6749801744140905,0.6895920473176022,0.6816709373004255,0.7091454826845738,0.6756194135787361,0.6804795667389408,0.6452527495173862,0.6829243779296555,0.5746504789047165,0.6465166817968266,0.5720721039829155,0.6134708798576433,0.701695757961976,0.6398128772253376,0.686644189900766,0.7040465611587396,0.6797286986827114,0.6688578801490865,0.7170393756837098,0.7170087275828728,0.7017520850844801,0.6688997868339036,0.672882062410912,0.5919613295764656,0.591849669630959,0.6899303439279196,0.657311310694206,0.6832172680430766,0.6633716958634237,0.6711264106743019,0.6812335714657213,0.6514018158330733,0.6923617801552839,0.6661686151285414,0.7278877510140002,0.6639231437850356,0.679615815659528,0.620016736324865,0.613171877520744,0.6883850055850562,0.661691055129971,0.7035223142321388,0.7233037700683399,0.7133476521028412,0.7116572809723264,0.6669006381580891,0.6811777071736534,0.568861016253004,0.6450969199157315,0.6683792142507236,0.6846871960663118,0.6818337708371923,0.7094381810484486,0.6835113440623871,0.6660418349123487,0.6464829408772198,0.6820209572189903,0.669190065764229,0.6712491637406517,0.623476646226814,0.5182071193604133,0.6083523493026575,0.6805097961901417,0.6285350244548296,0.6886173936802112,0.6701556821598895,0.660194422758551,0.673641735696375,0.6574952673411065,0.6812529272093832,0.6861767427425709,0.6971955266002376,0.5347746343213714,0.6587187126615036,0.689540581523431,0.6783999808453588,0.6705787275604278,0.7063946943046692,0.7112893724271053,0.5990290290656564,0.6899394471462963,0.6345083325405867,0.7143241364690992,0.6945203154832504,0.7031394418563155,0.679867330718107,0.7128480402786942,0.6950134200873372,0.6271177939170564,0.7034087122212171,0.6937491289373982
