,betweenness_1,betweenness_2,betweenness_3,betweenness_4,betweenness_5,betweenness_6,betweenness_7,betweenness_8,betweenness_9,betweenness_10,betweenness_11,betweenness_12,betweenness_13,betweenness_14,betweenness_15,betweenness_16,betweenness_17,betweenness_18,betweenness_19,betweenness_20,betweenness_21,betweenness_22,betweenness_23,betweenness_24,betweenness_25,betweenness_26,betweenness_27,betweenness_28,betweenness_29,betweenness_30,betweenness_31,betweenness_32,betweenness_33,betweenness_34,betweenness_35,betweenness_36,betweenness_37,betweenness_38,betweenness_39,betweenness_40,betweenness_41,betweenness_42,betweenness_43,betweenness_44,betweenness_45,betweenness_46,betweenness_47,betweenness_48,betweenness_49,betweenness_50,betweenness_51,betweenness_52,betweenness_53,betweenness_54,betweenness_55,betweenness_56,betweenness_57,betweenness_58,betweenness_59,betweenness_60,betweenness_61,betweenness_62,betweenness_63,betweenness_64,betweenness_65,betweenness_66,betweenness_67,betweenness_68,betweenness_69,betweenness_70,betweenness_71,betweenness_72,betweenness_73,betweenness_74,betweenness_75,betweenness_76,betweenness_77,betweenness_78,betweenness_79,betweenness_80,betweenness_81,betweenness_82,betweenness_83,betweenness_84,betweenness_85,betweenness_86,betweenness_87,betweenness_88,betweenness_89,betweenness_90,betweenness_91,betweenness_92,betweenness_93,betweenness_94,betweenness_95,betweenness_96,betweenness_97,betweenness_98,betweenness_99,betweenness_100
171,7256,5235,8282,5856,2890,5198,84,5553,7763,8,8189,1122,2025,3527,3455,7416,3983,7686,2570,8436,5198,7039,7472,1923,7479,6294,2892,5755,4099,7098,3698,2160,7929,2734,1615,8156,3977,3338,7477,5973,7551,47,3339,3445,5734,7668,6150,7774,4050,7637,1987,8160,3683,8361,2168,7588,7570,7818,0,3535,4096,5736,1983,1653,674,729,1662,3258,8263,8287,6840,8362,4729,3773,7857,3278,7431,7482,1795,1917,4080,8062,5693,676,7549,3947,7404,1629,7756,3872,4161,3833,3734,555,7546,1809,2365,8364,1395,5894
172,1696,1507,5558,3089,2412,6429,4005,2818,4457,2546,345,8370,2071,9201,103,3175,597,6172,466,1766,256,6628,837,5785,2392,1676,2971,4614,4765,5051,3461,2128,4570,6367,6740,3683,8008,6308,8260,7647,6984,3072,6389,5527,3265,8487,6321,4633,1977,6725,2759,3659,5158,2390,500,6220,6476,4819,802,4236,8186,3282,8583,7798,8075,96,5025,18,4094,8389,4077,6936,145,3693,7875,8372,445,3969,7971,2851,8345,5865,8375,3632,2084,8573,3364,4345,7739,8112,9171,6287,6693,6572,5771,8446,9141,5863,5476,6530
173,3296,2159,3491,1945,8279,4880,6687,3968,4179,0,628,669,2815,8273,7948,6479,7355,3605,7199,4675,6036,864,5298,8009,1741,345,6905,0,6609,0,5505,5779,2131,3750,4359,2165,0,5600,6667,6044,8268,7413,7193,8498,5391,8734,7179,6212,1178,7879,1751,5966,2858,5509,5753,5564,2530,4613,48,4107,4617,5042,8275,3184,6826,8211,1112,2578,7656,8566,8447,6872,890,1840,8794,1437,6682,928,7326,4948,7047,5025,505,5310,7204,3899,3603,69,1369,5924,8441,3968,4198,8113,7219,3778,8233,3719,4736,7331
174,7755,2427,839,5607,4450,2456,7371,486,1311,2889,6187,1801,8130,2335,2675,641,2526,5745,2398,6270,4592,6179,3223,5600,8600,2999,1610,1112,1162,8240,5221,7353,5837,7053,4611,2728,8643,7334,3734,1922,8687,5668,8228,400,2263,3424,3168,8014,765,3059,1413,7149,7512,5133,7122,1924,5290,1222,1029,8659,5464,8236,487,3345,3859,5398,2770,7814,5157,8427,5494,7833,2283,1788,5956,8749,5509,6984,5492,7620,7550,7903,6910,5354,3512,6050,8727,4646,2408,5774,6368,2668,8739,2468,8338,5149,5382,8315,1411,6284
175,3362,7061,3454,7244,1417,3529,7283,5213,7320,3336,0,5527,2218,7890,2647,5939,3880,5923,4156,8657,3683,6635,5163,2879,6829,7543,7817,6917,1899,8120,6832,1617,3682,7455,7021,6195,8296,3707,5279,1462,9045,1,3057,304,3796,8775,2088,5006,1867,8045,1230,3813,8747,9159,560,244,4554,4508,0,676,5191,3730,1917,42,4018,577,5142,8232,5187,3923,3013,8032,3820,1737,8949,9079,1456,1124,6957,5590,8701,6837,8216,4516,8212,5525,1213,6274,3874,7507,7193,6147,3960,2202,5805,6069,6007,8280,906,5290
176,2430,7785,4756,4333,8145,1230,4982,5053,5950,234,175,8708,1364,1691,2049,5377,7506,4888,5505,7881,3471,7349,6344,7697,395,6598,8097,3969,4843,7452,1793,3874,6912,3723,2200,3670,5096,8588,5508,4192,9240,1930,7774,8838,4037,9116,5047,6048,2674,7544,560,4928,1580,4560,7143,4843,3856,4225,3717,9,3710,866,4372,183,5013,1043,1712,1719,8924,3352,4832,4741,7858,3943,8449,9244,3361,2839,2090,5621,2428,6829,5074,4130,8996,4850,1890,6920,7177,5080,5073,3697,8531,4058,4171,8646,7546,4290,2592,7635
177,3096,3915,5932,2871,2962,3839,4141,5762,4689,5186,8394,678,4582,6508,2847,8278,5901,6902,5930,6130,1081,7202,2894,7440,3600,1657,3679,1993,74,6945,6527,6469,7709,7749,6749,2632,5790,6679,4233,8195,4730,6707,2720,6058,6625,6267,3715,5086,3195,7274,5909,7731,1007,2250,6814,7619,5666,6241,9096,8056,7639,1186,2891,478,1557,8841,1068,2467,4476,8260,2607,1653,2582,73,6499,6375,472,489,6719,4152,8113,9118,8819,2879,1946,5436,5694,2476,5913,7064,9066,400,3314,1468,1246,1345,6129,5853,8182,8139
178,2725,5407,4756,7186,4509,6785,6308,4813,4866,6075,7144,7078,4140,7682,8337,9120,4411,3876,5124,3597,3799,2827,80,7139,0,4196,60,0,94,4036,6184,1672,3442,7307,72,6429,2481,4383,6428,8952,3617,759,31,8703,5480,4719,1547,5363,7403,4233,159,3601,4074,7142,8693,9154,7210,9042,8493,2332,3255,2229,5,2542,6022,8982,9240,6088,8801,8581,5532,4674,713,5791,6135,7088,3531,0,5948,0,6408,9078,6309,1936,6301,6356,3860,0,4873,6406,1022,0,421,100,4775,248,7664,6769,7138,7777
179,5257,5022,8191,5236,5761,8003,7515,7090,7277,2106,1500,0,1976,2929,5199,7942,0,8218,7390,6949,8084,220,566,4047,7808,1133,2926,863,3179,9063,4252,5832,9145,2098,0,5349,133,8087,3646,2653,5570,2456,191,5328,7209,2110,503,0,4040,5031,8549,5665,4687,5728,4226,1268,7567,7142,5416,4255,3473,7929,8453,4930,3117,9199,3347,3871,4696,4877,8289,0,5293,5292,2837,7417,393,3147,5838,8397,5737,4065,7323,229,5439,8340,0,6851,2922,5704,9217,8159,4930,5045,1808,8232,6847,1003,0,8125
180,2169,8112,7594,8220,2354,2219,3693,7098,4789,7604,346,2583,117,3511,587,4378,8614,6544,4035,3856,4337,1553,377,8258,971,7015,1266,3408,4404,462,2473,4795,4729,6007,8132,6594,4049,7167,2225,5143,8712,5775,5958,3109,8356,7417,8522,8240,3891,8318,2776,8102,7970,5685,1443,4759,6521,7560,143,21,858,2961,968,6335,2055,2380,3059,3353,7411,7363,5826,4714,6612,5739,8426,7851,3732,3749,2287,318,8234,7700,5538,2782,2132,6356,4320,8126,6447,7540,4233,513,2869,7994,3943,7434,6498,6605,3679,7919
