,strengths_nodal_negative_1,strengths_nodal_negative_2,strengths_nodal_negative_3,strengths_nodal_negative_4,strengths_nodal_negative_5,strengths_nodal_negative_6,strengths_nodal_negative_7,strengths_nodal_negative_8,strengths_nodal_negative_9,strengths_nodal_negative_10,strengths_nodal_negative_11,strengths_nodal_negative_12,strengths_nodal_negative_13,strengths_nodal_negative_14,strengths_nodal_negative_15,strengths_nodal_negative_16,strengths_nodal_negative_17,strengths_nodal_negative_18,strengths_nodal_negative_19,strengths_nodal_negative_20,strengths_nodal_negative_21,strengths_nodal_negative_22,strengths_nodal_negative_23,strengths_nodal_negative_24,strengths_nodal_negative_25,strengths_nodal_negative_26,strengths_nodal_negative_27,strengths_nodal_negative_28,strengths_nodal_negative_29,strengths_nodal_negative_30,strengths_nodal_negative_31,strengths_nodal_negative_32,strengths_nodal_negative_33,strengths_nodal_negative_34,strengths_nodal_negative_35,strengths_nodal_negative_36,strengths_nodal_negative_37,strengths_nodal_negative_38,strengths_nodal_negative_39,strengths_nodal_negative_40,strengths_nodal_negative_41,strengths_nodal_negative_42,strengths_nodal_negative_43,strengths_nodal_negative_44,strengths_nodal_negative_45,strengths_nodal_negative_46,strengths_nodal_negative_47,strengths_nodal_negative_48,strengths_nodal_negative_49,strengths_nodal_negative_50,strengths_nodal_negative_51,strengths_nodal_negative_52,strengths_nodal_negative_53,strengths_nodal_negative_54,strengths_nodal_negative_55,strengths_nodal_negative_56,strengths_nodal_negative_57,strengths_nodal_negative_58,strengths_nodal_negative_59,strengths_nodal_negative_60,strengths_nodal_negative_61,strengths_nodal_negative_62,strengths_nodal_negative_63,strengths_nodal_negative_64,strengths_nodal_negative_65,strengths_nodal_negative_66,strengths_nodal_negative_67,strengths_nodal_negative_68,strengths_nodal_negative_69,strengths_nodal_negative_70,strengths_nodal_negative_71,strengths_nodal_negative_72,strengths_nodal_negative_73,strengths_nodal_negative_74,strengths_nodal_negative_75,strengths_nodal_negative_76,strengths_nodal_negative_77,strengths_nodal_negative_78,strengths_nodal_negative_79,strengths_nodal_negative_80,strengths_nodal_negative_81,strengths_nodal_negative_82,strengths_nodal_negative_83,strengths_nodal_negative_84,strengths_nodal_negative_85,strengths_nodal_negative_86,strengths_nodal_negative_87,strengths_nodal_negative_88,strengths_nodal_negative_89,strengths_nodal_negative_90,strengths_nodal_negative_91,strengths_nodal_negative_92,strengths_nodal_negative_93,strengths_nodal_negative_94,strengths_nodal_negative_95,strengths_nodal_negative_96,strengths_nodal_negative_97,strengths_nodal_negative_98,strengths_nodal_negative_99,strengths_nodal_negative_100
0,-6.3031119928029655,-9.580870230076778,-12.715015057492835,-9.100751736816296,-6.248278032389291,-10.457751896752065,-10.700170235481064,-12.982189716685061,-11.735005946070023,-5.582078326102177,-8.928992846864595,-10.305096718938186,-6.794896004084946,-7.22370679803564,-8.01555363596191,-9.205640844929063,-10.848718774256996,-7.429634404968105,-8.8204496562777,-10.30770157379862,-9.026852599248956,-9.38199758338126,-11.352962137214192,-7.82566517343843,-10.347028261966269,-10.916462256496004,-10.067242783328457,-8.431718924023393,-10.580200529609865,-8.329619712503717,-11.188349779688426,-6.780897644329183,-9.25576900757366,-6.339431443311993,-10.61540660765474,-10.961377339367605,-7.980788020000309,-10.322854725808227,-12.066890199556891,-10.36792516152475,-15.666144028251614,-8.425198138394917,-11.228987492823379,-12.853148442857735,-9.06002381804162,-16.548534807541888,-14.620273001818221,-11.415924260713346,-8.436656685464884,-15.727070570437727,-8.280565585966471,-13.541532938500815,-8.200976240388638,-9.096991612725423,-11.809004157605726,-9.017046073385776,-12.929090766104155,-11.26481343979287,-5.8866415608328655,-9.680953962032932,-10.63184506375634,-8.563587789253008,-9.41371637410999,-7.992133601482098,-7.250990329015887,-9.928059216753999,-8.526989048254991,-10.911170439375836,-10.50686232830041,-13.072945604421538,-9.724100503618567,-10.26185657837026,-9.640970811441417,-8.198397339130223,-10.481719469393234,-11.979865843624859,-8.998974492592199,-9.255481992078725,-9.41330097680271,-7.664188220897183,-8.564487244686424,-14.669608402381602,-10.66357775490944,-7.051462086903592,-8.865483982736361,-9.070857223655285,-7.155748270198999,-7.438143292546083,-9.814187290675942,-12.427505019403373,-10.887935792366378,-8.807238658006884,-10.903349208034788,-9.020038024223606,-6.7427964069958515,-13.62690961292197,-14.17583932552917,-13.098135259209764,-8.271150608959617,-15.726928157947661
1,-3.6669356591509166,-13.588621671320245,-6.952384462378161,-16.953735831764607,-6.896546000660751,-4.846544208444517,-12.659742117121139,-10.084076046458959,-13.536017096298643,-4.074039375688258,-4.876318481939947,-5.178669330732368,-5.321628348110971,-6.631166697442489,-16.270159051769884,-18.3718471443579,-6.023349210941334,-4.342962148081897,-5.127332003441768,-30.110198052987844,-15.140185195240385,-4.737844179022351,-4.781488970664476,-13.781184518658462,-4.037665389161932,-6.835094459581018,-5.621155183772434,-6.121551203547601,-5.203822836731394,-8.701863140557705,-3.6802494608202876,-4.650148864564424,-9.233004563270558,-7.442777878415871,-7.065116325057979,-23.17167012332076,-5.003767164688839,-4.9806465041459855,-4.672644153701851,-4.166889530950774,-7.481576902415336,-5.57404767086246,-4.610620382750563,-4.295667894043355,-6.734505447779871,-7.173677200413609,-5.652083009933285,-7.555267968688701,-4.204298463247445,-4.558826054714439,-3.941095478487049,-5.391939713452697,-4.549281879984211,-26.085960676252775,-7.31373458930818,-4.897011621467795,-8.395230740040954,-19.91504900699675,-4.859815479612694,-5.436129177388433,-4.5620385877317915,-4.818662472028184,-8.772848746753148,-7.499682743792805,-5.848894324234758,-13.312266032062551,-9.855323842247147,-5.079322520513271,-4.992585603804921,-14.903656990953852,-28.125510322449063,-5.633191587116302,-6.766227043733406,-4.93424926153777,-7.6071804993163745,-5.214030785051395,-4.678510736001227,-8.424212775755667,-4.255373992874214,-5.12443485269348,-10.822611165782709,-12.163317536579497,-8.5522687821978,-5.416624360823957,-7.218672366841098,-10.979111718422919,-4.096297944505829,-6.891437718303972,-12.62189498392063,-9.472918311679862,-5.47908159991299,-6.052743579610715,-5.358433081915882,-6.736105572360251,-6.801470086617288,-4.251856467697802,-8.486150805397521,-10.01146398828784,-4.436129247444001,-5.110854336074263
2,-5.856654035025232,-14.402223623536122,-9.694101362584824,-12.253294294268787,-19.00281613010013,-11.297356410679704,-12.032112238719048,-13.447692513534179,-10.088567045439689,-8.316299453822822,-10.342498675996467,-13.997282453109463,-5.705507680892106,-10.495031240515239,-9.671849996245887,-16.026909393595975,-15.159600013526402,-14.792028034025693,-13.446451202974346,-12.737647509996442,-16.15458231309052,-7.314753512311305,-13.620025089730865,-13.401603102724776,-9.169496403052078,-9.870171574448765,-10.96418359316053,-8.516645818729618,-7.592818956364444,-12.164387503305331,-12.333634039201966,-12.109022903843172,-16.522701114421046,-9.667187430836083,-7.720217106510475,-5.078622879251754,-18.853060665913517,-15.477483121423317,-13.315796157371544,-6.405474853520791,-21.97153983949384,-19.33013669831675,-21.92269200201124,-22.291946933752453,-9.740322216070993,-25.660539047482818,-21.406110945796193,-12.658344508860694,-5.229493231864627,-15.717961198812775,-11.952155503708427,-12.398725792551055,-13.461271528168988,-13.752124688750378,-14.736161528430943,-8.884192373175345,-13.791520543464022,-11.985791118475039,-8.062552790058312,-10.686190173809264,-13.104179689136531,-3.7896774883596644,-9.887132684063324,-9.861888322783102,-14.518235453554322,-7.6731520859103854,-7.289599247024507,-13.80944351251371,-14.56068735814089,-12.809591361408753,-15.615680594843575,-15.164510427455816,-13.736814160394617,-8.359852877513008,-14.69764010047724,-9.99085502208647,-9.089009214773277,-13.64565401152729,-13.632209766219267,-11.38221739630568,-10.953837737918402,-19.217925553430245,-18.33452434198399,-6.453101039919775,-10.70765620975872,-12.173761165436666,-16.82244103923749,-12.450830181045484,-4.879314680429188,-17.47999204448164,-17.956679863385013,-8.993603726343249,-15.998874767260059,-19.40884133841678,-27.585097919590037,-21.525909602107756,-23.95585992248482,-7.226320890981628,-4.900531439131278,-15.232684897415405
3,-4.903962944547273,-15.156739984246657,-16.393000914450536,-12.826663834734465,-13.818142788619943,-12.213603470922777,-15.919774200684756,-14.816071679319403,-16.125817824260885,-13.735593297844046,-13.203200417486974,-12.243950498745729,-13.752453331476529,-15.544717741407789,-15.993558807224352,-11.503499091656947,-8.671138930818964,-11.829900357786432,-11.130317771749223,-6.377263191759897,-13.164508981368218,-10.944697974703823,-13.80932660187505,-11.575504384204221,-6.079275844743223,-6.143206060227448,-9.504013099282432,-12.923983232640733,-7.321546077392127,-8.502958333122434,-10.551556805668767,-6.869332551303761,-8.569349125238903,-18.430791591642144,-21.044715530065428,-18.781273733110975,-21.93051709932104,-5.7180527260876035,-5.499474968963623,-8.251187917575075,-20.29491812697994,-15.78998515246177,-16.6151285046237,-14.0214059389577,-17.39100554883582,-21.42709550644095,-13.135540565959683,-14.804986538816888,-7.067110917833839,-17.03656249077042,-9.413881917371768,-15.697134240293327,-14.051005582226676,-11.705567471087834,-9.921471690875382,-13.932138105718609,-14.883771849178496,-16.070766818847417,-13.46683773246691,-13.177001253769696,-12.014449117088946,-12.397429393305885,-15.160499445554654,-11.353932667319164,-11.990619081346683,-14.783572672822185,-11.246735201674763,-9.017046078287182,-14.572873179893797,-12.387255999459448,-12.151170101921362,-7.27560653217716,-12.598169605698441,-8.652709521331337,-8.241175759735311,-7.146489351043867,-9.919856432913292,-8.369712939487195,-10.672271407688743,-5.41924058392894,-24.291436927541803,-23.694561118383618,-19.540981647043743,-18.694310080257576,-14.51103537622937,-22.997164951670776,-20.94576021530806,-16.83120439343949,-15.378605980085577,-22.926928238306125,-13.36414728817663,-6.815417441804229,-8.231382794965898,-11.63551911105603,-11.271730397640836,-12.174363327752864,-19.492027457508108,-16.084248454150195,-8.997767208147314,-11.12273945129273
4,-7.2014563418925555,-10.359150454434142,-10.253864382339568,-10.909537087512447,-17.109129193270675,-9.828070856975067,-9.020414182836724,-9.391244359577813,-12.360218100323962,-6.681941813987272,-5.960033957220578,-7.061116652890394,-8.77351097316395,-9.250335942959435,-9.028610834248783,-11.788313766998694,-9.550880815350904,-10.394580956921406,-8.753307461185699,-8.34890593648487,-10.639036241148306,-14.669334183456375,-11.778925039853071,-10.787421975645762,-9.829490875218646,-8.56917426338696,-10.657953975364824,-10.92901830416078,-9.528555362115869,-10.787833527056517,-10.440205470595439,-12.152939160220184,-11.72813750446075,-10.606233526176851,-9.41931944215511,-10.226493987256164,-11.7053708829562,-11.338395952594713,-9.215689649779579,-8.822341089953406,-12.739573963901645,-12.870612763787854,-13.026416671436113,-13.60058285427201,-10.74696021699745,-15.006316631990122,-13.176371321359309,-13.519322096807448,-11.404926776253987,-9.927895892698565,-6.22633960433718,-9.945794099964184,-12.323218461544856,-11.385202275093507,-15.635721105376858,-10.846721314232212,-9.171493706244984,-10.247432904652888,-8.617752286400988,-6.3437120713244965,-9.165393382613326,-8.065869627173779,-9.413908492408943,-8.743431183708626,-9.821133933837098,-9.067486289863435,-7.3309305947930925,-9.980476367503394,-11.10757843684051,-11.247179804199911,-9.443709972030875,-12.334365488058374,-11.837289823498645,-7.188493557676282,-10.52493362875508,-7.38874223689788,-6.68310993570842,-11.071955551036604,-12.13568702197268,-11.637918032602506,-11.654631603132614,-14.541443446362846,-15.853448908701461,-9.142422122981158,-9.07574216978318,-13.88355613750786,-11.987851654751534,-12.752671372840105,-8.862594628692086,-11.206361376556378,-13.55703820832657,-10.16009501788131,-8.236064631387993,-9.832509991349191,-9.108455720818846,-14.4413406213404,-17.924020009156465,-13.33125418807725,-9.396425662685358,-12.779802570230448
5,-7.1304055112283775,-11.216115019407347,-11.512980466991396,-9.737782734201451,-14.95610535702335,-9.570725231461363,-8.307263762079755,-14.547067651527962,-11.823303877518146,-11.282650311831523,-9.438966749616272,-11.327296323230204,-10.757145952745821,-9.905247519734584,-11.798206357290395,-9.195312195661355,-11.607000520208182,-14.66404397932047,-12.040914590558765,-15.15864905329534,-14.949409638397524,-14.545379905053114,-11.481380820369084,-11.114123282598204,-7.269170188879328,-7.883650988890761,-12.72325493091977,-8.719466608897497,-4.660444344053824,-10.127427337703404,-9.306894045485352,-7.616960697254947,-18.04350224254498,-16.453895290575673,-17.840732015278668,-7.2659910613088545,-12.33100975268908,-10.734283647363963,-15.720452266637617,-9.510769740040072,-21.949079449821813,-15.483612089519545,-20.15414316488844,-9.463658939596861,-17.391894076720668,-19.686366283815172,-21.93665799889832,-17.7650680352307,-6.830870681847721,-18.13393181854829,-5.119813559026218,-12.64098401082092,-13.453082893127986,-11.51847623853754,-10.386267285112787,-8.534093136809847,-13.849652245623767,-10.245574260498632,-10.677156945875925,-9.136706488225977,-11.297709899211492,-10.330782129307927,-11.138588476286845,-8.844581883260302,-11.793590797173508,-11.22273974417357,-7.507159138532961,-13.41576124988999,-11.6832244794582,-14.858647121956922,-14.007559346665618,-11.335253152591681,-11.222919078298291,-9.558320545534825,-13.186823677703119,-9.39152648489762,-11.989564754366384,-8.166555619629458,-5.850988554347944,-7.362879443732889,-6.995904153764659,-18.500788293968196,-14.67206510366655,-9.32448550979215,-6.8529666962998235,-18.67767477486958,-11.417297946835193,-7.904622322631416,-7.75257883824186,-11.279337890707632,-16.00774614811372,-8.22093215867972,-10.061942750890951,-15.05235498189631,-13.42948837425307,-8.746002204448079,-16.75958374579486,-12.911326368966519,-5.925561607908778,-13.826060966313038
6,-15.122690397074164,-5.454740423211462,-6.612235659772416,-8.738409002131645,-7.330841100258957,-5.6024862053678826,-6.830558893627796,-7.232210293161138,-4.89363497290934,-6.048780326222208,-6.548165580865478,-6.81207179563344,-8.066542589521607,-8.202039630662723,-6.480847744411581,-8.12276411830544,-4.147616719731788,-8.444677599828443,-5.016096161156429,-8.403255371154986,-7.614988188292548,-5.604382191987472,-5.169755014703793,-8.56313426738591,-6.61642726224365,-6.769943982595486,-5.989416809038212,-3.854961193252623,-4.516347084871787,-5.844673443088064,-9.842850896745393,-13.62944245496112,-9.322097900218473,-7.827362778990907,-7.727009954995912,-3.944809666410732,-6.117412622193259,-11.197735747577545,-7.661814033506708,-6.9828767583223135,-8.342003884090136,-10.51961346364657,-11.32711298500013,-7.5229546765134465,-7.142447239647168,-9.393444828884837,-7.185393851851472,-2.4105631592727175,-3.1077267135497886,-9.657847400706084,-9.09538383689622,-7.649217433534444,-6.091048877677895,-10.377255686823979,-4.47899339626507,-7.244346113854536,-5.769499190898236,-6.140422700603971,-6.393548143238499,-5.263204043063207,-7.044906178567156,-6.95469090933415,-7.327061449446035,-7.579809713305465,-5.129308555842484,-8.287455394004283,-6.363552381052837,-5.728242394362132,-6.041471334419386,-7.2243005426804725,-6.070181917061168,-5.699655901270522,-6.06513037979737,-3.1222087248291426,-5.884243297653586,-7.535820973419542,-7.461200071150954,-6.875559033482608,-10.370344732331866,-12.710649784098836,-3.4054505374016313,-7.840144028586107,-6.4209969465725205,-7.334614709974311,-6.3796368911917165,-6.917170477987138,-7.600346972046093,-6.186808539410642,-4.295095140217764,-7.960864429305004,-13.45281857792839,-10.337271768777578,-11.297219739136018,-9.397927470746856,-5.369552307131828,-6.968820002956954,-6.608274186620994,-4.101441207431717,-6.046487892698859,-7.873857353710275
7,-11.538320515254409,-16.284279477903407,-16.256174134351145,-11.45152595065112,-12.640120120732123,-12.099451982338929,-13.02013842476604,-12.644654124237839,-15.650551187118808,-13.368430953426108,-7.185923874363078,-14.884074365630394,-6.149509821033295,-8.580739772207357,-14.138740227348952,-14.40038619358619,-10.835850673861586,-11.859561053953694,-8.357682152055757,-19.80579433813572,-12.465481982457968,-13.987278450671523,-7.223582718051456,-8.537861662032926,-18.700430165825566,-18.805432137000924,-14.990183836778213,-9.17745024648009,-8.66529808204905,-11.02650363248608,-16.577301035370517,-14.30561213389523,-11.751881959946575,-10.93170763227281,-17.27528750085769,-17.010795937214766,-14.358688392886151,-17.09176589952786,-15.169281709663913,-8.74630953700365,-10.886775699343195,-19.53909425500746,-20.143976599373573,-18.552742767977573,-18.22670149946738,-12.457719536418587,-12.77872204717222,-12.90880846350178,-17.61083616587075,-12.669171963633907,-12.932328072280102,-10.592096964485016,-8.84145080029936,-11.32837777979542,-15.054889524225725,-8.910817800325194,-11.394973172101805,-14.740011065449565,-7.8157779250388435,-7.724198455124213,-8.778130790245912,-10.3750697398552,-7.085321512552236,-8.41159104370761,-6.979666108805817,-12.812729757986657,-11.124444362846587,-6.341333609751341,-12.561728393673452,-11.407883544562242,-14.229739458211068,-5.298166710098499,-9.800479384480287,-10.184295207775545,-10.218401850191984,-15.765396460205963,-8.239470633236749,-8.574013034947706,-9.321767889659673,-8.44642163725512,-9.25860443298731,-12.631738462434203,-17.490895503376017,-16.652832884223006,-15.15596174290319,-10.81559573739964,-11.972506655819181,-12.678608370891641,-15.061955912894206,-7.377333018833843,-10.354062753320354,-10.422696618851642,-4.90936165650655,-9.615515061622524,-13.620889762942934,-18.68336430393394,-12.286774571599274,-10.515326040453504,-13.5412010407206,-12.289476163694768
8,-4.04977610508549,-16.144409160987834,-12.018885687238393,-14.684824284522964,-15.434736308184773,-11.898151396653926,-9.98517590749029,-14.773224766581567,-15.079585506037628,-7.27875913768196,-11.499981343853545,-6.5713040903914735,-6.394028119610747,-7.312647083281528,-9.218016919549346,-9.108695080126681,-10.78035710199276,-8.706183632734595,-8.309550596543785,-6.23370866563533,-10.001796786141064,-9.218333778658566,-5.612132082813946,-6.310553337518849,-8.241718023608783,-6.439108657932766,-6.2960282698546335,-8.78875070127466,-8.294466239362766,-4.777899610207438,-8.5728410345125,-5.594187465472054,-7.771385799142583,-8.18636964226386,-10.96049505894601,-10.167015307215017,-11.039004709812637,-6.426733583946026,-4.981527151228499,-5.1804869063079195,-8.443166537937254,-7.784053222918695,-9.627279958352744,-11.254404575726209,-10.479581920736234,-11.61677036201269,-11.103948100895904,-11.966791314330003,-10.41387419208444,-8.762369236585078,-5.961284212186357,-15.186881547806106,-14.510560447373404,-17.329564459062833,-13.975357540087618,-11.269153211410439,-12.085963183326692,-15.201991570321917,-7.528604411110279,-5.539441615855182,-4.582617345424268,-6.331862869967676,-7.227182812492706,-6.531073019938878,-6.367651488845012,-8.742065675471627,-8.04083327627971,-5.818976569487363,-4.666213483425085,-5.569457083506913,-7.4577089097166835,-7.0347255971113345,-4.68469982258287,-5.335715640819128,-3.848562499565026,-9.060847830642423,-5.805403886730774,-8.655680425429814,-7.781532802196983,-6.774511104006911,-6.923889750267291,-11.583135139008174,-5.726195479321989,-6.401139247291021,-7.911569731234081,-12.808084921495807,-7.449986163582625,-10.009800386778085,-8.293096440292377,-6.727267905289069,-11.002474117028957,-6.890306000760436,-8.228877963272087,-8.36414474403307,-9.496813856043048,-11.198371375224843,-11.052785916493308,-10.22036396099575,-6.710380003589441,-7.564223680253252
9,-9.15346972862071,-6.620963768354849,-5.853374072843938,-14.411282126610246,-6.153100124230379,-9.7450113026279,-13.61127558060078,-13.341851695406513,-11.373926361865326,-17.09340750446266,-16.314576414866288,-15.978925658769636,-10.043882673832742,-11.40493479732777,-8.97256183393175,-4.763529434381232,-8.688696356789384,-13.762254006051444,-6.637353682095235,-10.898293100917806,-7.890234100065017,-7.997028566532006,-7.646752662600061,-17.88138281263688,-16.93675293480195,-14.427593731892172,-18.409148271938424,-10.417474908137056,-8.961619766193738,-6.205114743461759,-7.9130180672230575,-8.976579724690199,-7.96145355634438,-14.13267682582447,-15.47106200077296,-11.117002915631673,-8.022775719301261,-8.979701228844984,-10.77341610107517,-18.016269809619537,-11.655560811088627,-10.273736777339007,-9.189636369119981,-8.225219741799817,-11.088777380783371,-13.023853880951327,-13.623651182420963,-10.99871181137882,-4.167941207134663,-7.201895028901101,-6.573334419390059,-6.525485418611263,-7.831384924015329,-15.011930649779519,-7.693865978999163,-8.910021961413506,-14.25010075861784,-15.328942744856151,-7.337099081231788,-9.284699128898431,-11.337262573213916,-10.478566521535546,-10.864502445087673,-7.971032369538825,-7.760545299021901,-7.260695676754529,-10.11566779261691,-5.917126981792799,-11.839062968663724,-11.20684717114375,-10.90446926619206,-7.429703693905519,-10.598139378049364,-12.529882212099889,-5.522289421620726,-5.343367430111128,-10.22450969358805,-8.907367870403721,-9.253662795152765,-12.360863618460712,-13.867314928118141,-13.88918707464935,-9.699931999936295,-6.489471051840533,-16.217259974769583,-10.488547312830413,-8.41036385708944,-8.628543489276558,-12.78604972966718,-8.486684172057716,-8.96818547605094,-12.034987334993508,-5.357945554168469,-11.822599106727742,-7.688827702634221,-8.363926438682883,-10.891356559823612,-9.077149471392069,-3.645530099081358,-8.780685760039136
